Dmsd, R^2, logDmsd, Rg, a2
2.12E+03,9.30E-01,7.66E+00,5.71E+01,8.98E-03
7.85E+02,9.16E-01,6.67E+00,4.10E+01,1.31E-02
2.35E+03,7.80E-01,7.76E+00,6.04E+01,1.60E-01
1.51E+03,9.61E-01,7.32E+00,3.98E+01,1.78E-02
1.93E+03,8.61E-01,7.57E+00,4.96E+01,2.80E-02
5.79E+03,9.35E-01,8.66E+00,1.21E+02,1.38E-03
8.63E+02,9.69E-01,6.76E+00,2.51E+01,3.57E-02
2.13E+03,9.94E-01,7.66E+00,1.05E+02,2.88E-02
1.78E+03,9.62E-01,7.48E+00,3.99E+01,2.17E-02
1.43E+03,8.54E-01,7.27E+00,5.46E+01,2.02E-02
9.23E+02,6.96E-01,6.83E+00,4.05E+01,4.40E-02
6.76E+02,9.92E-01,6.52E+00,3.10E+01,6.13E-02
-2.57E+02,2.69E-01,nan,1.00E+02,1.16E-01
-3.82E+02,4.80E-01,nan,6.35E+01,1.08E-01
1.13E+04,9.93E-01,9.34E+00,2.60E+02,2.26E-01
8.07E+02,8.76E-01,6.69E+00,2.75E+01,8.58E-02
6.54E+02,6.49E-01,6.48E+00,7.91E+01,7.27E-02
6.91E+01,3.98E-02,4.24E+00,4.79E+01,1.84E-01
7.03E+02,7.60E-01,6.56E+00,4.49E+01,5.00E-02
-5.27E+02,7.04E-01,nan,4.43E+01,2.32E-01
4.75E+02,8.03E-01,6.16E+00,2.88E+01,6.33E-02
1.20E+03,9.93E-01,7.09E+00,4.26E+01,1.03E-02
4.35E+02,4.29E-01,6.08E+00,7.87E+01,3.24E-02
9.65E+02,9.87E-01,6.87E+00,2.84E+01,1.38E-02
1.08E+03,9.19E-01,6.99E+00,2.88E+01,3.97E-02
1.05E+03,9.20E-01,6.95E+00,2.59E+01,1.07E-02
3.85E+02,9.76E-01,5.95E+00,1.91E+01,4.49E-02
-1.78E+02,5.32E-01,nan,3.15E+01,2.43E-01
1.29E+02,3.95E-01,4.86E+00,2.39E+01,4.28E-01
1.96E+03,8.79E-01,7.58E+00,8.60E+01,8.52E-03
9.49E+02,9.82E-01,6.85E+00,3.21E+01,1.73E-01
-1.94E+02,1.55E-01,nan,2.65E+01,2.67E-01
1.10E+03,7.29E-01,7.00E+00,6.75E+01,1.94E-01
2.21E+03,7.52E-01,7.70E+00,1.39E+02,1.24E-01
5.46E+02,6.67E-01,6.30E+00,6.77E+01,6.27E-02
7.43E+02,7.53E-01,6.61E+00,3.36E+01,1.56E-01
3.10E+03,9.23E-01,8.04E+00,7.22E+01,2.07E-02
5.17E+02,8.43E-01,6.25E+00,1.59E+01,6.41E-02
2.18E+02,8.35E-01,5.39E+00,1.20E+01,6.16E-02
5.23E+02,1.88E-01,6.26E+00,9.35E+01,2.62E-01
1.08E+03,8.75E-01,6.99E+00,8.17E+01,8.44E-02
4.22E+02,7.03E-01,6.04E+00,2.51E+01,1.19E-01
8.08E+02,5.52E-01,6.69E+00,1.34E+02,3.96E-02
1.94E+02,3.51E-01,5.27E+00,2.09E+01,6.39E-01
7.08E+02,9.24E-01,6.56E+00,3.02E+01,1.49E-01
5.27E+02,9.50E-01,6.27E+00,1.78E+01,1.64E-01
5.86E+02,8.49E-01,6.37E+00,2.45E+01,1.30E-01
2.94E+03,5.18E-01,7.99E+00,2.05E+02,1.21E-02
1.38E+03,6.25E-01,7.23E+00,1.51E+02,7.69E-03
6.75E+02,6.67E-01,6.52E+00,4.30E+01,2.22E-01
1.96E+02,5.01E-01,5.28E+00,2.36E+01,1.96E-01
9.34E+02,8.46E-01,6.84E+00,7.38E+01,1.28E-02
1.37E+02,1.98E-01,4.92E+00,2.68E+01,1.31E-01
-8.32E+00,2.55E-03,nan,1.72E+01,2.58E-01
2.44E+02,6.54E-01,5.50E+00,3.02E+01,1.99E-01
7.72E+01,1.88E-01,4.35E+00,1.33E+01,2.60E-01
1.49E+02,8.01E-01,5.00E+00,6.41E+00,1.94E-01
4.52E+02,8.46E-01,6.11E+00,3.96E+01,1.60E-01
-4.55E+00,1.28E-04,nan,4.50E+01,1.91E-01
1.84E+02,9.17E-01,5.22E+00,2.81E+01,3.81E-01
5.72E+02,9.78E-01,6.35E+00,2.56E+01,7.76E-02
-2.08E+02,6.39E-02,nan,6.87E+01,3.39E-01
1.91E+02,5.27E-01,5.25E+00,1.86E+01,2.32E-01
4.97E+02,1.31E-01,6.21E+00,7.00E+01,4.19E-02
7.42E+02,6.40E-01,6.61E+00,9.01E+01,3.50E-01
6.09E+00,1.45E-04,1.81E+00,3.48E+01,2.76E-01
-1.01E+03,8.76E-01,nan,7.37E+01,7.86E-01
-1.12E+02,4.53E-02,nan,4.68E+01,3.60E-01
3.49E+03,8.80E-01,8.16E+00,2.02E+02,5.74E-03
-2.95E+02,3.31E-01,nan,3.68E+01,3.48E-01
1.19E+02,1.33E-01,4.78E+00,3.93E+01,2.63E-01
4.51E+02,6.58E-01,6.11E+00,2.93E+01,4.51E-02
-4.36E+02,7.19E-01,nan,2.89E+01,3.80E-01
-8.36E+01,1.35E-02,nan,4.85E+01,1.75E-01
2.88E+01,2.08E-01,3.36E+00,1.63E+01,1.04E-01
-2.37E+02,9.59E-02,nan,5.08E+01,2.69E-01
1.69E+02,3.16E-02,5.13E+00,6.38E+01,2.97E-01
2.61E+02,5.19E-01,5.56E+00,5.55E+01,1.73E-01
2.27E+02,1.68E-02,5.43E+00,1.29E+02,3.29E-01
6.53E+01,4.56E-01,4.18E+00,1.41E+01,3.34E-01
1.69E+02,3.36E-01,5.13E+00,2.54E+01,2.47E-01
-3.07E+02,1.29E-01,nan,9.88E+01,3.88E-01
1.35E+02,1.85E-01,4.91E+00,2.76E+01,2.91E-01
1.90E+02,2.13E-02,5.25E+00,1.08E+02,1.78E-01
-1.25E+03,4.19E-01,nan,1.22E+02,3.40E-01
-2.58E+01,1.33E-02,nan,1.45E+01,6.66E-02
3.17E+02,2.60E-01,5.76E+00,4.06E+01,2.41E-01
3.73E+03,8.72E-01,8.23E+00,2.04E+02,2.06E-03
-1.02E+02,1.58E-02,nan,6.97E+01,1.16E-01
4.55E+02,9.52E-01,6.12E+00,1.41E+01,8.93E-02
6.06E+02,4.03E-01,6.41E+00,9.97E+01,1.04E-01
-1.66E+02,1.01E-01,nan,5.01E+01,2.50E-01
4.85E+00,3.82E-04,1.58E+00,2.29E+01,1.70E-01
-4.91E+02,1.95E-01,nan,5.88E+01,3.82E-01
2.10E+02,1.60E-01,5.34E+00,3.75E+01,2.03E-01
3.32E+02,7.11E-01,5.80E+00,3.86E+01,7.10E-02
-7.01E+00,2.40E-03,nan,2.90E+01,9.16E-02
2.40E+03,5.35E-01,7.78E+00,1.40E+02,1.72E-02
-1.70E+02,4.13E-02,nan,8.76E+01,7.66E-01
3.43E+02,8.00E-01,5.84E+00,2.46E+01,8.17E-02
1.19E+02,6.26E-01,4.78E+00,1.82E+01,2.81E-01
9.94E+02,8.90E-01,6.90E+00,4.51E+01,8.34E-02
3.81E+02,7.76E-01,5.94E+00,5.40E+01,2.36E-01
1.74E+02,1.44E-01,5.16E+00,2.85E+01,2.89E-01
6.85E+02,2.44E-01,6.53E+00,1.11E+02,4.58E-02
6.22E+01,5.92E-01,4.13E+00,7.17E+00,3.84E-01
3.94E+01,5.51E-02,3.67E+00,4.00E+01,5.73E-02
4.29E+02,3.04E-01,6.06E+00,7.80E+01,2.78E-01
3.00E+02,9.45E-01,5.71E+00,1.63E+01,2.78E-01
2.63E+03,9.93E-01,7.87E+00,4.09E+02,7.89E-04
-1.11E+02,8.09E-03,nan,7.28E+01,1.80E-01
1.51E+02,4.80E-01,5.02E+00,1.72E+01,2.92E-01
-7.49E+02,2.78E-01,nan,9.25E+01,4.34E-01
4.46E+03,8.90E-01,8.40E+00,1.65E+02,2.85E-02
5.73E+02,8.86E-01,6.35E+00,4.13E+01,3.40E-01
1.43E+02,1.16E-01,4.96E+00,3.88E+01,3.40E-01
1.11E+02,2.58E-01,4.71E+00,1.28E+01,3.16E-01
1.05E+02,1.26E-01,4.66E+00,3.28E+01,1.76E-01
1.86E+01,3.19E-04,2.92E+00,1.51E+02,8.13E-02
1.11E+03,6.99E-01,7.01E+00,7.97E+01,3.59E-01
3.13E+03,5.87E-01,8.05E+00,2.36E+02,4.11E-03
-7.06E+02,6.71E-01,nan,6.98E+01,2.54E-01
7.21E+02,6.62E-01,6.58E+00,6.51E+01,1.62E-01
1.23E+02,1.07E-01,4.81E+00,3.44E+01,3.40E-01
7.68E+02,7.84E-01,6.64E+00,6.58E+01,7.84E-02
1.93E+03,3.93E-01,7.56E+00,1.58E+02,9.43E-02
-1.62E+01,2.67E-02,nan,1.18E+01,1.77E-01
-2.82E+01,6.06E-02,nan,3.52E+01,1.89E-01
1.00E+01,1.00E-01,2.00E+01,3.00E+01,2.00E-01
